epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9903,1.49353,1.75903,1.51929,0.50963,0.58808,0.52666,0.24031,1.92928,3.89463,2.15308,0.00065625,0.00065625,0.00065625
2,54.8418,1.54659,1.39143,1.54052,0.35625,0.3523,0.28644,0.10441,2.31448,2.48616,2.20232,0.00130982,0.00130982,0.00130982
3,81.3859,1.56803,1.43228,1.54518,0.46179,0.42553,0.40019,0.14534,2.39525,2.78459,2.68011,0.00195019,0.00195019,0.00195019
4,107.579,1.56631,1.40212,1.57467,0.4117,0.40108,0.35435,0.12208,2.46311,3.163,2.70008,0.0019406,0.0019406,0.0019406
5,133.854,1.57421,1.38575,1.54208,0.34801,0.41192,0.26892,0.10409,2.40939,2.27372,2.37249,0.0019208,0.0019208,0.0019208
6,160.694,1.49241,1.27309,1.49937,0.71083,0.63686,0.66446,0.34086,1.7793,1.32844,1.85009,0.001901,0.001901,0.001901
7,186.992,1.46851,1.24319,1.47213,0.68687,0.68363,0.68927,0.341,1.79176,1.60697,1.80387,0.0018812,0.0018812,0.0018812
8,213.771,1.42697,1.17386,1.46936,0.8047,0.73171,0.7627,0.40662,1.65723,1.27074,1.67403,0.0018614,0.0018614,0.0018614
9,240.121,1.39364,1.10388,1.41974,0.72255,0.63415,0.65658,0.31394,1.79989,1.47786,1.75075,0.0018416,0.0018416,0.0018416
10,266.541,1.37821,1.11775,1.41195,0.76656,0.65852,0.69492,0.3536,1.83231,1.3469,1.79333,0.0018218,0.0018218,0.0018218
11,293.308,1.3592,1.07974,1.38553,0.80972,0.65735,0.70919,0.36012,1.80039,1.35365,1.8218,0.001802,0.001802,0.001802
12,320.109,1.3622,1.06869,1.39296,0.83498,0.71003,0.79207,0.39019,1.74424,1.272,1.7399,0.0017822,0.0017822,0.0017822
13,346.638,1.34045,1.04254,1.36687,0.7804,0.7561,0.77351,0.38149,1.75282,1.11352,1.68531,0.0017624,0.0017624,0.0017624
14,373.21,1.3173,0.99844,1.36544,0.83859,0.71805,0.79509,0.40183,1.67718,1.11379,1.69332,0.0017426,0.0017426,0.0017426
15,399.503,1.32732,1.0192,1.38074,0.76953,0.73294,0.775,0.41557,1.60559,1.16419,1.59768,0.0017228,0.0017228,0.0017228
16,426.213,1.31322,0.98086,1.36341,0.83707,0.66667,0.73683,0.389,1.62761,1.29938,1.66074,0.001703,0.001703,0.001703
17,452.891,1.27486,0.93543,1.34282,0.78115,0.63415,0.69906,0.3933,1.70865,1.24457,1.79717,0.0016832,0.0016832,0.0016832
18,478.63,1.27867,0.91815,1.35576,0.8298,0.76152,0.7976,0.45097,1.565,0.98835,1.59003,0.0016634,0.0016634,0.0016634
19,505.192,1.26231,0.90893,1.33687,0.82053,0.7832,0.83275,0.47791,1.54171,1.06639,1.54458,0.0016436,0.0016436,0.0016436
20,531.922,1.2369,0.87376,1.32248,0.87913,0.76875,0.84976,0.49278,1.55661,0.89686,1.5166,0.0016238,0.0016238,0.0016238
21,558.101,1.23362,0.86611,1.31705,0.82884,0.72358,0.81499,0.4656,1.53073,1.02931,1.56022,0.001604,0.001604,0.001604
22,584.77,1.22654,0.8727,1.30848,0.82499,0.79203,0.85279,0.47336,1.65309,0.97202,1.60628,0.0015842,0.0015842,0.0015842
23,611.466,1.21263,0.86698,1.29768,0.8076,0.68564,0.77092,0.43107,1.62018,1.1499,1.60091,0.0015644,0.0015644,0.0015644
24,637.902,1.18744,0.84683,1.28785,0.83936,0.79133,0.84281,0.49002,1.54744,0.96718,1.54519,0.0015446,0.0015446,0.0015446
25,664.565,1.18427,0.80218,1.28967,0.88798,0.81631,0.88784,0.49179,1.54722,0.77102,1.5379,0.0015248,0.0015248,0.0015248
26,690.303,1.19879,0.80159,1.28304,0.8801,0.77236,0.88315,0.50686,1.51616,0.8666,1.51869,0.001505,0.001505,0.001505
27,716.947,1.1836,0.81482,1.28397,0.83885,0.78862,0.84944,0.47223,1.57678,0.91731,1.55987,0.0014852,0.0014852,0.0014852
28,743.151,1.18946,0.79368,1.2826,0.80074,0.74056,0.76731,0.46587,1.6022,1.09703,1.66113,0.0014654,0.0014654,0.0014654
29,769.663,1.20463,0.82691,1.29445,0.80518,0.82884,0.85953,0.48495,1.51819,0.86411,1.53793,0.0014456,0.0014456,0.0014456
30,795.96,1.13898,0.77217,1.25524,0.85168,0.71545,0.79323,0.46171,1.52115,1.07159,1.55183,0.0014258,0.0014258,0.0014258
31,822.465,1.15521,0.799,1.26842,0.7945,0.83817,0.82558,0.46446,1.56948,0.90901,1.5882,0.001406,0.001406,0.001406
32,848.541,1.1467,0.77704,1.25828,0.85787,0.81783,0.8745,0.48588,1.57377,0.8431,1.55971,0.0013862,0.0013862,0.0013862
33,875.553,1.1111,0.75054,1.24042,0.90551,0.83198,0.91149,0.5292,1.45575,0.7333,1.45462,0.0013664,0.0013664,0.0013664
34,902.79,1.14282,0.74379,1.25003,0.88203,0.76998,0.8542,0.43059,1.78345,0.89331,1.7456,0.0013466,0.0013466,0.0013466
35,929.919,1.13122,0.75409,1.25217,0.83512,0.84824,0.87666,0.52362,1.50765,0.78874,1.49928,0.0013268,0.0013268,0.0013268
36,956.312,1.1222,0.71715,1.2361,0.84452,0.84011,0.87303,0.51071,1.49821,0.82266,1.49479,0.001307,0.001307,0.001307
37,983.101,1.11193,0.69287,1.22729,0.87689,0.83469,0.89223,0.52871,1.54176,0.78009,1.55552,0.0012872,0.0012872,0.0012872
38,1009.72,1.09659,0.68711,1.21931,0.89241,0.84824,0.90822,0.52558,1.49386,0.72664,1.46573,0.0012674,0.0012674,0.0012674
39,1036.04,1.08051,0.7004,1.21704,0.80808,0.84437,0.8701,0.50129,1.57068,0.80765,1.59507,0.0012476,0.0012476,0.0012476
40,1062.09,1.07783,0.69556,1.22051,0.90567,0.86992,0.91213,0.50393,1.51256,0.6967,1.46781,0.0012278,0.0012278,0.0012278
41,1088.87,1.08468,0.68229,1.21552,0.87306,0.83878,0.8721,0.50772,1.57876,0.78142,1.53492,0.001208,0.001208,0.001208
42,1115.18,1.07819,0.68945,1.2103,0.8841,0.86721,0.91861,0.55654,1.39937,0.69785,1.38877,0.0011882,0.0011882,0.0011882
43,1141.56,1.05423,0.66591,1.1996,0.91718,0.81843,0.89533,0.50409,1.54532,0.74454,1.5361,0.0011684,0.0011684,0.0011684
44,1168.51,1.05673,0.67057,1.19991,0.88025,0.8566,0.90692,0.53262,1.46207,0.74247,1.45007,0.0011486,0.0011486,0.0011486
45,1195.23,1.06403,0.66791,1.20157,0.91904,0.83067,0.9154,0.54829,1.44111,0.6829,1.43622,0.0011288,0.0011288,0.0011288
46,1221.81,1.02673,0.66601,1.19227,0.87362,0.88044,0.9052,0.54214,1.46545,0.73155,1.43208,0.001109,0.001109,0.001109
47,1248.93,1.03467,0.6395,1.18998,0.87377,0.86721,0.89915,0.48385,1.56965,0.72493,1.55506,0.0010892,0.0010892,0.0010892
48,1276.4,1.04362,0.65066,1.18995,0.87706,0.86721,0.91136,0.55046,1.4776,0.6913,1.45442,0.0010694,0.0010694,0.0010694
49,1303.27,1.02045,0.62605,1.17712,0.92769,0.86919,0.93194,0.54964,1.40394,0.62371,1.40916,0.0010496,0.0010496,0.0010496
50,1330.04,1.0078,0.6233,1.18032,0.89166,0.84757,0.90782,0.51227,1.51696,0.69422,1.51777,0.0010298,0.0010298,0.0010298
51,1357.19,1.00207,0.61866,1.17331,0.80961,0.84127,0.85614,0.52753,1.49062,0.83526,1.51844,0.00101,0.00101,0.00101
52,1384.43,1.01811,0.62808,1.17997,0.93935,0.88142,0.94041,0.55101,1.42326,0.65776,1.44613,0.0009902,0.0009902,0.0009902
53,1411.42,0.98793,0.59733,1.16266,0.92661,0.84824,0.9286,0.55038,1.46628,0.65721,1.45976,0.0009704,0.0009704,0.0009704
54,1438.4,0.996,0.61911,1.17418,0.88079,0.88076,0.90755,0.5367,1.48724,0.68061,1.48518,0.0009506,0.0009506,0.0009506
55,1465.61,0.96946,0.61052,1.15928,0.91046,0.84553,0.91109,0.50299,1.62161,0.75899,1.59838,0.0009308,0.0009308,0.0009308
56,1492.53,0.96842,0.5878,1.15862,0.87619,0.82471,0.88576,0.50371,1.54703,0.77378,1.55922,0.000911,0.000911,0.000911
57,1519.08,0.97571,0.59709,1.15273,0.92266,0.85637,0.90147,0.49959,1.57728,0.74839,1.55864,0.0008912,0.0008912,0.0008912
58,1546.89,0.98497,0.61322,1.16702,0.89255,0.88618,0.92286,0.51891,1.53134,0.64693,1.52382,0.0008714,0.0008714,0.0008714
59,1574.67,0.98265,0.61303,1.16326,0.88136,0.88076,0.88388,0.50861,1.50428,0.73502,1.50286,0.0008516,0.0008516,0.0008516
