epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.38,2.17634,2.56118,2.52055,0.00609,0.45257,0.00405,0.00116,3.0316,51.9045,3.82544,0.000665349,0.000665349,0.000665349
2,253.829,2.21952,2.61995,2.61625,0.09853,0.0813,0.04447,0.01433,2.89099,3.32678,3.28798,0.00132103,0.00132103,0.00132103
3,367.701,2.10203,2.54287,2.53563,0.18256,0.49593,0.19187,0.05808,2.23915,2.71514,2.8494,0.0019657,0.0019657,0.0019657
4,488.101,2.04414,2.47893,2.47465,0.35407,0.36314,0.2628,0.09063,2.13501,2.92459,2.85504,0.0019505,0.0019505,0.0019505
5,611.479,1.97332,2.37848,2.40306,0.36796,0.42547,0.32904,0.11143,2.18752,2.63484,2.73429,0.001934,0.001934,0.001934
6,730.221,1.91368,2.24425,2.34731,0.44572,0.46635,0.37253,0.16324,1.91952,2.30845,2.53934,0.0019175,0.0019175,0.0019175
7,851.097,1.84297,2.20177,2.28962,0.50743,0.45257,0.44711,0.18806,1.96876,2.35286,2.53262,0.001901,0.001901,0.001901
8,976.624,1.82349,2.18121,2.27798,0.55322,0.4607,0.46053,0.19582,1.97636,2.27302,2.60522,0.0018845,0.0018845,0.0018845
9,1100.18,1.81844,2.11395,2.24965,0.48919,0.44899,0.44047,0.20765,1.91703,2.0087,2.49224,0.001868,0.001868,0.001868
10,1220.35,1.78077,2.07556,2.22657,0.57859,0.56911,0.52081,0.20008,2.06103,1.98181,2.76008,0.0018515,0.0018515,0.0018515
11,1341.28,1.78561,2.00732,2.20361,0.71367,0.46608,0.55114,0.26886,1.84845,1.9169,2.44744,0.001835,0.001835,0.001835
12,1464.13,1.72472,1.95588,2.17376,0.63783,0.56369,0.57065,0.2176,1.98133,1.91591,2.5357,0.0018185,0.0018185,0.0018185
